〇	zero	líng
倾听者	listener	qīng tīng zhě
倾听者	listener	qīng tīng zhě
倾听者	listener	qīng tīng zhě
倾家荡产	lose the family fortune	qīng jiā dàng chǎn
倾慕	adore	qīng mù
倾斜	slope	qīng xié
倾服	admire	qīng fú
倾注	pour/throw into	qīng zhù
倾泻	come down in torrents	qīng xiè
倾盆	downpour	qīng pén
倾耳而听	listen attentively	qīng ěr ér tīng
倾覆	to capsize/capsize	qīng fù
倾覆	to capsize/capsize	qīng fù
倾角	dip	qīng jiǎo
倾诉	tell intimately	qīng sù
倾轧	engage in internal strife	qīng yà
倾销	to dump/dumping	qīng xiāo
倾颓	collapse	qīng tuí
偃	to lie supine	yǎn
偃师	Yanshi	yǎn shī
偃师市	Yanshi	yǎn shī shì
偃師	Yanshi	yǎn shī
偃師市	Yanshi	yǎn shī shì
假	false	gēi
假人	dummy	jiǎ rén
假仁假义	hypocrisy	jiǎ rén jiǎ yì
假仁假義	hypocrisy	jiǎ rén jiǎ yì
假作	feign	jiǎ zuò
假使	in case/if	jiǎ shǐ
假借	make use of	jiǎ jiè
假充	pose as	jiǎ chōng
假充	pose as	jiǎ chōng
假冒	pose as	jiǎ mào
假分数	improper fraction	jiǎ fēn shù
假分數	improper fraction	jiǎ fēn shù
假分數	improper fraction	jiǎ fēn shù
假发	wig	jiǎ fà
假名	pseudonym	jiǎ míng
假嗓子	falsetto	jiǎ sǎng zi
假声	falsetto	jiǎ shēng
假如	if	jiǎ rú
假子	stepson/adopted son	jiǎ zǐ
假定	assume	jiǎ dìng
假寐	doze	jiǎ mèi
假小子	tomboy	jiǎ xiǎo zi
假山	rock garden/rockery	jiǎ shān
假币	counterfeit money	jiǎ bì
假底	false bottom	jiǎ dǐ
假性	pseudo-	jiǎ xìng
假性近視	pseudomyopia	jiǎ xìng jìn shì
假性近視	pseudomyopia	jiǎ xìng jìn shì
假性近視	pseudomyopia	jiǎ xìng jìn shì
假性近视	pseudomyopia	jiǎ xìng jìn shì
假想	imaginary/hypothesis/imagine	jiǎ xiǎng
假惺惺	unctuous/hypocritical	jiǎ xīng xīng
假意	insincerity/hypocrisy	jiǎ yì
假扮	to impersonate	jiǎ bàn
假日	holiday	jià rì
假期	vacation	jià qī
假条	leave permit/application for leave	jià tiáo
假果	pseudocarp	jiǎ guǒ
假條	leave permit/application for leave	jià tiáo
假死	play dead/suspended animation	jiǎ sǐ
假牙	dentures	jiǎ yá
假种皮	aril	jiǎ zhǒng pí
假科学	pseudoscience	jiǎ kē xué
假科學	pseudoscience	jiǎ kē xué
假種皮	aril	jiǎ zhǒng pí
假聲	falsetto	jiǎ shēng
假肢	artificial limb	jiǎ zhī
假若	if/in case/supposing	jiǎ ruò
假若	if/in case/supposing	jiǎ ruò
假装	feign/pretend/to pretend	jiǎ zhuāng
假裝	feign/pretend/to pretend	jiǎ zhuāng
假設	assume	jiǎ shè
假設語氣	subjunctive	jiǎ shè yǔ qì
假說	hypothesis	jiǎ shuō
假說	hypothesis	jiǎ shuō
假說	hypothesis	jiǎ shuō
假设	assume	jiǎ shè
假设语气	subjunctive	jiǎ shè yǔ qì
假说	hypothesis	jiǎ shuō
假象牙	celluloid	jiǎ xiàng yá
假貨	fake	jiǎ huò
假货	fake	jiǎ huò
假造	forge/fabricate	jiǎ zào
假道	by way of/via	jiǎ dào
假释	parole	jiǎ shì
假釋	parole	jiǎ shì
假鈔	counterfeit money	jiǎ chāo
假钞	counterfeit money	jiǎ chāo
假面具	mask	jiǎ miàn jù
假面舞会	masquerade/masked ball	jiǎ miàn wǔ huì
假面舞會	masquerade/masked ball	jiǎ miàn wǔ huì
假音	falsetto	jiǎ yīn
假髮	wig	jiǎ fà
假髻	chignon	jiǎ jì
偈	Buddhist hymn	jì
偉	big/great	wěi
偉人	great person	wěi rén
偉力	mighty force	wěi lì
偉力	mighty force	wěi lì
偉哥	Viagra	wěi gē
偉大	great/mighty	wěi dà
偉晶岩	pegmatite	wěi jīng yán
偉業	exploit	wěi yè
偉績	great acts	wěi jì
偌	such/to such a degree/so	ruò
偌大	so big	ruò dà
偎	cuddle/to cuddle	wēi
偎傍	snuggle up to	wēi bàng
偏	prejudiced/to lean/stubbornly	piān
偏低	be on the low side	piān dī
偏偏	just/only	piān piān
偏僻	remote	piān pì
偏光	polarized light	piān guāng
偏关	Pianguan	piān guān
偏压	bias voltage	piān yā
偏向	be partial to	piān xiàng
偏執狂	paranoia	piān zhí kuáng
偏壓	bias voltage	piān yā
偏头痛	migraine	piān tóu tòng
偏好	it so happened that	piān hào
偏差	deviation	piān chā
偏心	eccentric	piān xīn
偏心眼	bias/partiality	piān xīn yǎn
偏愛	favor	piān ài
偏房	concubine	piān fáng
偏执狂	paranoia	piān zhí kuáng
偏护	favour (one side)	piān hù
偏振	polarization	piān zhèn
偏振光	polarized light	piān zhèn guāng
偏斜	deflect	piān xié
偏旁	character components	piān páng
偏激	extreme	piān jī
偏爱	favor	piān ài
偏瘫	hemiplegia	piān tān
偏癱	hemiplegia	piān tān
偏离	deviate/diverge	piān lí
偏私	practice favoritism	piān sī
偏移	deviation/offset	piān yí
偏置	bias	piān zhì
偏航	yaw	piān háng
偏蚀	partial eclipse	piān shí
偏蝕	partial eclipse	piān shí
偏見	prejudice	piān jiàn
偏見	prejudice	piān jiàn
偏见	prejudice	piān jiàn
偏轉	deflection	piān zhuǎn
偏转	deflection	piān zhuǎn
偏远	remote	piān yuǎn
偏遠	remote	piān yuǎn
偏重	emphasize	piān zhòng
偏門	side door	piān mén
偏關	Pianguan	piān guān
偏门	side door	piān mén
偏離	deviate/diverge	piān lí
偏離	deviate/diverge	piān lí
偏頗	biased/partial	piān pō
偏頭痛	migraine	piān tóu tòng
偏颇	biased/partial	piān pō
偏食	partial eclipse	piān shí
偕	in company with	xié
做	do/be	zuò
做东	to act as host	zuò dōng
做主	decide	zuò zhǔ
做买卖	do business	zuò mǎi mài
做事	handle matters/work	zuò shì
做人	to conduct oneself	zuò rén
做作	affected/artificial	zuò zuo
做出	to put out	zuò chū
做到	accomplish/achieve	zuò dào
做夢	dream/to dream	zuò mèng
做好	finish well	zuò hǎo
做完	to finish	zuò wán
做工	workmanship	zuò gōng
做得到	can do	zuò dé dào
做戏	act in a play	zuò xì
做成	successfully complete	zuò chéng
做戲	act in a play	zuò xì
做東	to act as host	zuò dōng
做梦	dream/to dream	zuò mèng
做法	method	zuò fǎ
做活	work	zuò huó
做爱	to make love	zuò ài
做生意	do business/to do business	zuò shēng yì
做生日	give a birthday party	zuò shēng rì
做生活	work/do manual labour	zuò shēng huó
做礼拜	go to church/be at church	zuò lǐ bài
做礼拜	go to church/be at church	zuò lǐ bài
做祷告	to pray	zuò dǎo gào
做禮拜	go to church/be at church	zuò lǐ bài
做禮拜	go to church/be at church	zuò lǐ bài
做禱告	to pray	zuò dǎo gào
做自己	to be oneself	zuò zì jǐ
做買賣	do business	zuò mǎi mài
做起	start doing	zuò qǐ
做針線	do needlework	zuò zhēn xiàn
做针线	do needlework	zuò zhēn xiàn
做飯	to cook/prepare a meal	zuò fàn
做飯	to cook/prepare a meal	zuò fàn
做饭	to cook/prepare a meal	zuò fàn
做鬼	play tricks	zuò guǐ
做鬼脸	pull a face	zuò guǐ liǎn
做鬼臉	pull a face	zuò guǐ liǎn
停	stop/to stop	tíng
停下	stop	tíng xià
停下來	stop	tíng xià lái
停下來	stop	tíng xià lái
停下来	stop	tíng xià lái
停产	to stop production/stop production	tíng chǎn
停住	stop	tíng zhù
停俸	suspend salary payments	tíng fèng
停尸房	mortuary	tíng shī fáng
停屍房	mortuary	tíng shī fáng
停工	shut down/stop work	tíng gōng
停当	ready/settled	tíng dang
停息	stop/cease	tíng xī
停战	cease fire/armistice	tíng zhàn
停戰	cease fire/armistice	tíng zhàn
停放	park	tíng fàng
停歇	stop for a rest	tíng xiē
停止	stop	tíng zhǐ
停泊	anchor/to anchor	tíng bó
停滞	stagnation	tíng zhì
停滯	stagnation	tíng zhì
停火	cease fire	tíng huǒ
停產	to stop production/stop production	tíng chǎn
停用	to stop using/stop using	tíng yòng
停电	power cut	tíng diàn
停留	stay somewhere temporarily/to stop	tíng liú
停留	stay somewhere temporarily/to stop	tíng liú
停當	ready/settled	tíng dang
停表	stopwatch	tíng biǎo
停車	park/pull up	tíng chē
停車	park/pull up	tíng chē
停車場	parking lot	tíng chē chǎng
停車場	parking lot	tíng chē chǎng
停车	park/pull up	tíng chē
停车场	parking lot	tíng chē chǎng
停電	power cut	tíng diàn
停靠	berth	tíng kào
停靠港	port of call	tíng kào gǎng
停頓	pause/halt	tíng dùn
停顿	pause/halt	tíng dùn
健	strong in	jiàn
健全	sound/robust	jiàn quán
健全	sound/robust	jiàn quán
健在	be still living and in good health	jiàn zài
健壮	healthy/robust	jiàn zhuàng
健壯	healthy/robust	jiàn zhuàng
健康	healthy/health	jiàn kāng
健忘	forgetful	jiàn wàng
健忘症	amnesia	jiàn wàng zhèng
健旺	healthy	jiàn wàng
健美操	aerobics	jiàn měi cāo
健行	hike	jiàn xíng
健行	hike	jiàn xíng
健身	keep fit	jiàn shēn
健身房	gym/gymnasium	jiàn shēn fáng
健身操	aerobics	jiàn shēn cāo
偬	busy	zǒng
側	to incline towards	cè
側光	sidelight	cè guāng
側壁	side wall	cè bì
側室	concubine	cè shì
側影	profile/silhouette	cè yǐng
側根	lateral root	cè gēn
側泳	sidestroke	cè yǒng
側臥	lie on one's side	cè wò
側門	side door	cè mén
側面	side	cè miàn
偵	to scout	zhēn
偵察	detection/scout/reconnoiter	zhēn chá
偵察員	scout	zhēn chá yuán
偵探	detective/do detective work	zhēn tàn
偵測	detect/sense	zhēn cè
偵破	to solve	zhēn pò
偶	mate/accidental	ǒu
偶一	once in a while	ǒu yī
偶人	idol	ǒu rén
偶像	idol	ǒu xiàng
偶像剧	drama	ǒu xiàng jù
偶像劇	drama	ǒu xiàng jù
偶函数	even function	ǒu hán shù
偶函數	even function	ǒu hán shù
偶函數	even function	ǒu hán shù
偶合	coincide/coincidence	ǒu hé
偶尔	occasionally	ǒu ěr
偶数	even number	ǒu shù
偶數	even number	ǒu shù
偶數	even number	ǒu shù
偶然	occasional	ǒu rán
偶然性	fortuity/chance	ǒu rán xìng
偶爾	occasionally	ǒu ěr
偶犯	casual offense	ǒu fàn
偶犯	casual offense	ǒu fàn
偶蹄目	Artiodactyla	ǒu tí mù
偷	to steal/steal	tōu
偷偷	stealthily/secretly	tōu tōu
偷偷摸摸	furtively/sneaky	tōu tōu mō mō
偷吃	eat on the sly	tōu chī
偷听	eavesdrop	tōu tīng
偷垒	steal	tōu lěi
偷壘	steal	tōu lěi
偷壘	steal	tōu 壘
偷工减料	jerry-build	tōu gōng jiǎn liào
偷工减料	jerry-build	tōu gōng jiǎn liào
偷工減料	jerry-build	tōu gōng jiǎn liào
偷工減料	jerry-build	tōu gōng jiǎn liào
偷懒	to goof off	tōu lǎn
偷懶	to goof off	tōu lǎn
偷懶	to goof off	tōu lǎn
偷梁换柱	to perpetrate a fraud/perpetrate a fraud	tōu liáng huàn zhù
偷梁换柱	to perpetrate a fraud/perpetrate a fraud	tōu liáng huàn zhù
偷梁換柱	to perpetrate a fraud/perpetrate a fraud	tōu liáng huàn zhù
偷梁換柱	to perpetrate a fraud/perpetrate a fraud	tōu liáng huàn zhù
偷渡	steal across the international border/to steal across	tōu dù
偷渡者	stowaway	tōu dù zhě
偷渡者	stowaway	tōu dù zhě
偷渡者	stowaway	tōu dù zhě
偷猎	poach	tōu liè
偷猎者	poacher	tōu liè zhě
偷猎者	poacher	tōu liè zhě
偷猎者	poacher	tōu liè zhě
偷獵	poach	tōu liè
偷獵	poach	tōu liè
偷獵者	poacher	tōu liè zhě
偷獵者	poacher	tōu liè zhě
偷獵者	poacher	tōu liè zhě
偷獵者	poacher	tōu liè zhě
偷生	to live without purpose	tōu shēng
偷盗	pilfer/steal	tōu dào
偷盜	pilfer/steal	tōu dào
偷看	peek/peep/steal a glance	tōu kàn
偷稅	tax evasion	tōu shuì
偷税	tax evasion	tōu shuì
偷窃	pilfer/steal	tōu qiè
偷窥	to peep/peep at	tōu kuī
偷窺	to peep/peep at	tōu kuī
偷竊	pilfer/steal	tōu qiè
偷聽	eavesdrop	tōu tīng
偷逃	evade	tōu táo
偷閑	snatch a moment of leisure	tōu xián
偷闲	snatch a moment of leisure	tōu xián
偻	hunchback	lóu
偽	fake	wěi
偽劣	false	wěi liè
偽劣	false	wěi liè
偽君子	hypocrite	wěi jūn zǐ
偽善	hypocritical	wěi shàn
偽善者	hypocrite	wěi shàn zhě
偽善者	hypocrite	wěi shàn zhě
偽善者	hypocrite	wěi shàn zhě
偽幣	counterfeit currency	wěi bì
偽托	faking a modern object as an ancient one	wěi tuō
偽政權	puppet government	wěi zhèng quán
偽科學	pseudoscience	wěi kē xué
偽經	apocrypha	wěi jīng
偽裝	disguise/pretend/camouflage	wěi zhuāng
偽證	perjury	wěi zhèng
偽軍	puppet army	wěi jūn
偽造	forge/to forge/counterfeit	wěi zào
偽造品	forgery/fake/counterfeit	wěi zào pǐn
偽造罪	forgery	wěi zào zuì
偽造者	forger	wěi zào zhě
偽造者	forger	wěi zào zhě
偽造者	forger	wěi zào zhě
偽頂	false roof	wěi dǐng
偾	instigate	fèn
偿	fulfill	cháng
偿付	pay back	cháng fù
偿付能力	solvency	cháng fù néng lì
偿付能力	solvency	cháng fù néng 力
偿还	repay/to repay	cháng huán
傀	strange/grand	guī
傀儡	puppet	kuǐ lěi
傀儡戏	puppet show	kuǐ lěi xì
傀儡戲	puppet show	kuǐ lěi xì
傀儡政权	puppet regime	kuǐ lěi zhèng quán
傀儡政權	puppet regime	kuǐ lěi zhèng quán
傅立叶	Fourier	fù lì yè
傅立叶	Fourier	fù lì yè
傅立葉	Fourier	fù lì yè
傅立葉	Fourier	fù lì yè
傅立葉	Fourier	fù lì yè
傈	Lisu ethnic group	lì
傍	near	bàng
傍亮	dawn/daybreak	bàng liàng
傍亮	dawn/daybreak	bàng liàng
傍人篱壁	depend on others	bàng rén lí bì
傍人籬壁	depend on others	bàng rén lí bì
傍家儿	partner/lover	bàng jiā r
傍家兒	partner/lover	bàng jiā r
傍戶而立	stand close to the door	bàng hù ér lì
傍戶而立	stand close to the door	bàng hù ér lì
傍户而立	stand close to the door	bàng hù ér lì
傍户而立	stand close to the door	bàng hù ér lì
傍晚	in the evening	bàng wǎn
傍柳随花	prostitute	bàng liǔ suí huā
傍柳随花	prostitute	bàng liǔ suí huā
傍柳隨花	prostitute	bàng liǔ suí huā
傍柳隨花	prostitute	bàng liǔ suí huā
傍边	near	bàng biān
傍邊	near	bàng biān
傑	outstanding person	jié
傑作	masterpiece	jié zuò
傑克	Jack (name)/Jack	jié kè
傑克森	Jackson	jié kè sēn
傑克遜	Jackson	jié kè xùn
傑出	prominent/remarkable/outstanding	jié chū
傑夫	Jeff	jié fū
傑奎琳	Jacqueline	jié kuí lín
傑拉爾丁	Geraldine	jié lā ěr dīng
傑拉爾丁	Geraldine	jié 拉 ěr dīng
傑斐遜城	Jefferson City	jié fěi xùn chéng
傑米	Jamie	jié mǐ
傑西卡	Jessica	jié xī kǎ
傑里米	Jeremy	jié lǐ mǐ
傑里米	Jeremy	jié lǐ mǐ
傖	rough/low fellow/rude	cāng
傘	umbrella	sǎn
傘兵	paratrooper	sǎn bīng
傘兵部隊	paratroop	sǎn bīng bù duì
傘形花序	umbel	sǎn xíng huā xù
備	to prepare/get ready	bèi
備下	prepare	bèi xià
備件	spare parts	bèi jiàn
備份	copie/extra	bèi fèn
備受	fully experience (good or bad)	bèi shòu
備品	spare parts	bèi pǐn
備忘錄	memorandum	bèi wàng lù
備忘錄	memorandum	bèi wàng lù
備戰	to prepare for war	bèi zhàn
備料	get the materials ready	bèi liào
備料	get the materials ready	bèi liào
備查	for future reference	bèi chá
備案	put on record/file	bèi àn
備用	spare/backup/reserve	bèi yòng
備用環	backup ring	bèi yòng huán
備細	details/particulars	bèi xì
備胎	spare tire	bèi tāi
備至	in every possible way/to the utmost	bèi zhì
備荒	prepare against natural disasters	bèi huāng
備荒	prepare against natural disasters	bèi huāng
備註	remarks/remark	bèi zhù
傢伙	implement/tool	jiā huo
傥	if	tǎng
傧	best man	bīn
傧相	attendant of the bride or bridegroom at a wedding	bīn xiàng
储	to save	chǔ
储备	reserve	chǔ bèi
储存	to store	chǔ cún
储户	depositor	chǔ hù
储气	gas storage	chǔ qì
储蓄	savings/save/deposit	chǔ xù
储蓄帐户	savings account	chǔ xù zhàng hù
储藏	deposit/store	chǔ cáng
储藏室	storeroom	chǔ cáng shì
储运	store and transport	chǔ yùn
储量	reserves	chǔ liàng
储量	reserves	chǔ liàng
储金	savings	chǔ jīn
储金	savings	chǔ 金
傩	exorcise/exorcise demons	nuó
催	press	cuī
催促	urge	cuī cù
催化	catalyze	cuī huà
催化作用	catalysis	cuī huà zuò yòng
催化剂	catalyst	cuī huà jì
催化劑	catalyst	cuī huà jì
催吐剂	emetic	cuī tù jì
催吐劑	emetic	cuī tù jì
催奶	promote lactation	cuī nǎi
催泪弹	tear bomb	cuī lèi dàn
催眠曲	lullaby	cuī mián qǔ
催眠术	mesmerism/hypnotism	cuī mián shù
催眠药	soporific	cuī mián yào
催眠藥	soporific	cuī mián yào
催眠術	mesmerism/hypnotism	cuī mián shù
催肥	fatten	cuī féi
催討	dun	cuī tǎo
催讨	dun	cuī tǎo
傭	servant/hire/to hire	yōng
傭人領班	butler	yōng rén lǐng bān
傭人領班	butler	yōng rén 領 bān
傭兵	mercenary	yōng bīng
傭婦	maid	yōng fù
傭工	servant/hired labourer	yōng gōng
傭金	commission	yōng jīn
傭金	commission	yōng 金
傯	busy	zǒng
傲	proud	ào
傲岸	proud/haughty	ào àn
傲慢	haughty/arrogant	ào màn
傲气	haughtiness/air of arrogance	ào qì
傲氣	haughtiness/air of arrogance	ào qì
傲然	loftily/unyielding/proud	ào rán
傲骨	lofty and unyielding character	ào gǔ
傳	infect	chuán
傳三過四	spread rumors	chuán sān guò sì
傳世	handed down from ancient times	chuán shì
傳人	teach	chuán rén
傳令	transmit	chuán lìng
傳令	transmit	chuán lìng
傳令兵	orderly	chuán lìng bīng
傳令兵	orderly	chuán lìng bīng
傳來	information	chuán lái
傳來	information	chuán lái
傳出	spread	chuán chū
傳動	drive	chuán dòng
傳動帶	transmission belt	chuán dòng dài
傳呼機	pager	chuán hū jī
傳問	arraign	chuán wèn
傳喚	subpoena	chuán huàn
傳單	leaflet	chuán dān
傳奇	romance/legend	chuán qí
傳媒	media	chuán méi
傳家寶	family heirloom	chuán jiā bǎo
傳導	transmit/conduct	chuán dǎo
傳布	spread/disseminate	chuán bù
傳心術	telepathy	chuán xīn shù
傳感器	sensor/transducer	chuán gǎn qì
傳感器	sensor/transducer	chuán gǎn qì
傳授	teach/impart	chuán shòu
傳播	spread	chuán bō
傳教	preach	chuán jiào
傳教士	missionary	chuán jiào shì
傳染	infect/contagious/to infect	chuán rǎn
傳染性	contagiousness/contagious	chuán rǎn xìng
傳染病	infectious disease	chuán rǎn bìng
傳染病學	epidemiology	chuán rǎn bìng xué
傳法	pass on doctrines from master to disciple	chuán fǎ
傳流	spread/hand down/circulate	chuán liú
傳流	spread/hand down/circulate	chuán liú
傳流	spread/hand down/circulate	chuán liú
傳熱性	diathermancy	chuán rè xìng
